Country,Data availability for UHC index of service coverage (ranking),Data availability for UHC index of service coverage,UHC index of service coverage (SCI),UHC index of service coverage (SCI)_2015,"UHC SCI components: Reproductive, maternal, newborn and child health","UHC SCI components: Reproductive, maternal, newborn and child health",UHC SCI components:  Infectious diseases,UHC SCI components:  Infectious diseases,UHC SCI components: Noncommunicable diseases,UHC SCI components: Noncommunicable diseases,UHC SCI components: Service capacity and access,UHC SCI components: Service capacity and access
,2013-2017,2013-2017,2017,2015,2017,2015,2017,2015,2017,2015,2017,2015
Afghanistan,high,49,37,34,44,42,32,23,56,56,24,24
Albania,low,31,59,58,45,47,69,61,56,55,69,69
Algeria,medium,36,78,76,75,75,78,73,69,69,91,90
Angola,low,31,40,38,45,45,23,25,68,67,35,27
Antigua and Barbuda,low,24,73,73,86,90,65,61,72,71,70,74
Argentina,low,34,76,76,88,90,64,60,67,66,89,94
Armenia,medium,44,69,66,67,66,64,55,55,55,98,99
Australia,high,54,87,86,91,91,82,79,75,75,100,100
Austria,medium,41,79,79,91,92,79,76,62,60,88,95
Azerbaijan,low,33,65,63,49,48,65,57,60,59,94,94
Bahamas,low,33,75,73,85,85,64,64,71,71,81,73
Bahrain,low,33,77,75,85,85,64,58,66,66,98,99
Bangladesh,high,53,48,46,58,58,39,32,57,57,42,42
Barbados,medium,37,77,76,88,90,72,69,72,72,78,77
Belarus,medium,43,76,74,91,91,68,62,58,57,96,96
Belgium,medium,44,84,83,94,95,81,78,69,68,94,94
Belize,medium,36,64,66,79,80,53,52,72,72,56,63
Benin,medium,41,40,40,46,41,35,41,73,73,21,22
Bhutan,medium,41,62,59,84,84,55,46,62,62,53,50
Bolivia (Plurinational State of),high,50,68,64,70,70,49,42,79,78,82,74
Bosnia and Herzegovina,medium,36,61,60,64,64,65,61,43,42,78,77
Botswana,medium,36,61,61,67,67,72,64,62,62,47,52
Brazil,medium,43,79,78,77,79,70,67,71,71,99,99
Brunei Darussalam,medium,36,81,83,92,92,77,75,71,71,88,97
Bulgaria,medium,43,66,64,81,79,60,56,44,43,87,88
Burkina Faso,medium,44,40,38,57,56,44,37,64,64,15,16
Burundi,medium,40,42,43,58,58,57,52,69,69,13,17
Cabo Verde,low,33,69,67,80,79,55,51,62,61,83,81
Cambodia,medium,44,60,55,73,73,66,61,68,67,38,32
Cameroon,low,34,46,43,48,47,47,35,75,75,26,28
